"Designator","Qty","Comment","DNP","Exclude from BOM","Exclude from Board","LCSC","Footprint","Datasheet","Manufacturer"
"C101,C103,C107,C112,C113,C116","6","100n","","","","C668346","Capacitor_SMD:C_0201_0603Metric","https://www.lcsc.com/product-detail/C668346.html","Murata"
"C104,C105,C108,C109,C114,C115","6","1u","","","","C335102","Capacitor_SMD:C_0201_0603Metric","https://www.lcsc.com/product-detail/C335102.html","Murata"
"C110","1","2.2u","","","","C335106","Capacitor_SMD:C_0201_0603Metric","https://www.lcsc.com/product-detail/C335106.html","Murata"
"D101,D102","2","LED","","","","C4153580,C5846955","LED_SMD:LED_0201_0603Metric","https://www.lcsc.com/product-detail/C4153580.html,https://www.lcsc.com/product-detail/C5846955.html","Kingbright"
"D201,D202,D203,D204,D205,D206,D207,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226","25","TVS","","","","C2939949","Custom_VoxLink_Footprints:WLL-2-3","https://www.lcsc.com/product-detail/C2939949.html","Infineon"
"D208","1","TSV","","","","C2939949","Custom_VoxLink_Footprints:WLL-2-3","https://www.lcsc.com/product-detail/C2939949.html","Infineon"
"R101","1","22R","","","","C3009113","Resistor_SMD:R_0201_0603Metric","https://www.lcsc.com/product-detail/C3009113.html","Vishay"
"R103,R106","2","499R","","","","C2094902","Resistor_SMD:R_0201_0603Metric","https://www.lcsc.com/product-detail/C2094902.html","Vishay"
"R104,R105","2","10k","","","","C844303","Resistor_SMD:R_0201_0603Metric","https://www.lcsc.com/product-detail/C844303.html","Vishay"
"U101","1","TPS7A20L_1V2","","","","C30875939","Package_SON:Texas_X2SON-4_1x1mm_P0.65mm","https://www.lcsc.com/product-detail/C30875939.html?s_z=n_C30875939","TI"
"U102","1","ICE40UL1K-CM36AI","","","","C1519040","Package_BGA:UCBGA-36_2.5x2.5mm_Layout6x6_P0.4mm","https://www.lcsc.com/product-detail/C1519040.html?s_z=n_C1519040","Lattice"
"U103","1","TPS7A20L_2V5","","","","C41487851","Package_SON:Texas_X2SON-4_1x1mm_P0.65mm","https://www.lcsc.com/product-detail/C41487851.html?s_z=n_TPS7A20225PDQNR%2520","TI"
"U104","1","TPS7A20L_3V3","","","","C22445532","Package_SON:Texas_X2SON-4_1x1mm_P0.65mm","https://www.lcsc.com/product-detail/C22445532.html?s_z=n_TPS7A20L33PDQNR","TI"
"U105","1","W25Q32JV","","","","C2999380","Custom_VoxLink_Footprints:U-PDFN-8","https://www.lcsc.com/product-detail/C2999380.html?s_z=n_W25Q32JVUUIQ","Winbond"
"Y101","1","12MHz","","","","SMD1612-4P","Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm","https://www.lcsc.com/product-detail/C2032475.html","Abracon"
