Designator,Qty,Comment,DNP,Exclude from BOM,Exclude from Board,LCSC,Footprint,Datasheet,Manufacturer
"C1,C2,C5",3,100n,,,,C77020,Capacitor_SMD:C_0402_1005Metric,https://www.lcsc.com/product-detail/C77020.html,Murata
"C3,C4",2,4.7u,,,,C2858031,Capacitor_SMD:C_0402_1005Metric,https://www.lcsc.com/product-detail/C2858031.html,Murata
"C6,C7",2,15pF,,,,C2169087,Capacitor_SMD:C_0402_1005Metric,https://www.lcsc.com/product-detail/C2169087.html,Murata
D1,1,LED,,,,C7466700,LED_SMD:LED_0402_1005Metric,https://www.lcsc.com/product-detail/C7466700.html,Broadcom
"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",12,TVS,,,,C2939949,Custom_VoxLink_Footprints:WLL-2-3,https://www.lcsc.com/product-detail/C2939949.html,Infineon
"R1,R2,R5,R6",4,4k7,,,,C482193,Resistor_SMD:R_0402_1005Metric,https://www.lcsc.com/product-detail/C482193.html,Vishay
"R3,R4,R8",3,10k,,,,C71617,Resistor_SMD:R_0402_1005Metric,https://www.lcsc.com/product-detail/C71617.html,Vishay
R7,1,510R,,,,C482201,Resistor_SMD:R_0402_1005Metric,https://www.lcsc.com/product-detail/C482201.html,Vishay
R9,1,22R,,,,C482106,Resistor_SMD:R_0402_1005Metric,https://www.lcsc.com/product-detail/C482106.html,Vishay
U1,1,BNO086,,,,C5264422,Package_LGA:LGA-28_5.2x3.8mm_P0.5mm,https://eu.mouser.com/ProductDetail/CEVA/BNO086?qs=ulEaXIWI0c%2FqTo1scjodAw%3D%3D&srsltid=AfmBOop7Lm0NKSepOPNTaVnevCWe4BdpG9i9W3OMpkCwkAHHi0MmvZo2,CEVA
U2,1,TPS7A20L_3V3,,,,C22445532,Package_SON:Texas_X2SON-4_1x1mm_P0.65mm,https://www.mouser.sk/ProductDetail/Texas-Instruments/TPS7A20L33PDQNR?qs=dbcCsuKDzFXsu6ygYTlhWw%3D%3D,TI
Y1,1,32.768 kHz,,,,C5154201,Crystal:Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,https://www.lcsc.com/product-detail/C5154201.html,Epson
